Animal,Mês,Estação,Km,Trecho,Sentido,Trecho macro,Hora da Coleta,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetação Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa de Horario,Faixa de Quilometragem
furão,4,Outono,4,13,RJ,Planalto,10:47:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 0 e 25
coruja,4,Outono,8,12,RJ,Planalto,10:57:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 0 e 25
jararaca,4,Outono,30,10,JF,Planalto,10:00:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
furão,4,Outono,43,9,JF,Planalto,09:47:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
gambá-de-orelha-preta,4,Outono,45,9,JF,Planalto,09:35:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
gambá-de-orelha-preta,4,Outono,92,4,RJ,Serra,12:23:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
gambá-de-orelha-preta,4,Outono,100,3,RJ,Serra,12:38:00,Sem divisão,1,Pavimento semi-flexível,2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
tapeti,4,Outono,83,5,RJ,Serra,14:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
corujinha-do-mato,5,Outono,64,7,JF,Planalto,08:20:00,Canteiro divisório,3,Pavimento flexível (asfalto),7,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
preguiça-comum,5,Outono,94,4,RJ,Serra,11:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
furão,5,Outono,102,3,JF,Serra,07:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 100 e 125
sagui-de-tufos-brancos,5,Outono,97,3,JF,Serra,12:30:00,Sem divisão,2,Pavimento flexível (asfalto),1,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
araçari-poca,5,Outono,91,4,RJ,Serra,10:15:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
capivara,5,Outono,50,8,JF,Planalto,07:25:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 25 e 50
capivara,5,Outono,47,8,RJ,Planalto,13:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 25 e 50
coruja-orelhuda,5,Outono,67,6,JF,Planalto,Desconhecido,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Desconhecido,Entre 50 e 75
maritaca,6,Outono,59,7,JF,Planalto,08:47:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
alma-de-gato,6,Outono,69,6,RJ,Planalto,08:57:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
sagui-de-tufos-brancos,6,Outono,95,4,RJ,Serra,17:10:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
maritaca,6,Outono,71,6,JF,Planalto,09:17:00,Sem divisão,1,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
coruja-buraqueira,6,Outono,51,8,JF,Planalto,10:19:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
gambá-de-orelha-preta,6,Outono,69,6,JF,Planalto,09:48:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
jararacussu,6,Inverno,92,4,JF,Serra,15:50:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
gambá-de-orelha-preta,6,Inverno,71,6,RJ,Planalto,16:26:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 15 e 18,Entre 50 e 75
tapeti,6,Inverno,102,3,JF,Serra,03:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Chuva fina,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 03 e 06,Entre 100 e 125
falsa-coral,7,Inverno,82,5,JF,Serra,08:59:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
preguiça-comum,7,Inverno,95,4,RJ,Serra,12:40:00,Sem divisão,1,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
gavião-carijó,7,Inverno,49,8,RJ,Planalto,14:00:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 25 e 50
gambá-de-orelha-preta,7,Inverno,99,3,JF,Serra,22:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 21 e 00,Entre 75 e 100
jaguatirica,7,Inverno,818,14,JF,Planalto,16:40:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 15 e 18,Entre 800 e 825
capivara,7,Inverno,99,3,RJ,Serra,18:58:00,Sem divisão,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 21,Entre 75 e 100
lobo-guará,7,Inverno,816,14,RJ,Planalto,21:52:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 21 e 00,Entre 800 e 825
alma-de-gato,8,Inverno,68,6,RJ,Planalto,10:09:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
jararacussu,8,Inverno,95,4,JF,Serra,Desconhecido,Sem divisão,1,Pavimento rígido,2,60,Chuva fina,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Desconhecido,Entre 75 e 100
preguiça-comum,8,Inverno,91,4,JF,Serra,14:50:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 15,Entre 75 e 100
mão-pelada,8,Inverno,803,16,RJ,Planalto,19:35:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 21,Entre 800 e 825
jacú,8,Inverno,64,7,JF,Planalto,09:07:00,Canteiro divisório,2,Pavimento flexível (asfalto),7,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
preguiça-comum,8,Inverno,89,4,RJ,Serra,10:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 75 e 100
coruja-orelhuda,8,Inverno,98,3,RJ,Serra,00:00:00,Sem divisão,2,Pavimento rígido,3,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 03,Entre 75 e 100
gambá-de-orelha-preta,8,Inverno,96,3,JF,Serra,04:40:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Entre 03 e 06,Entre 75 e 100
ouriço-cacheiro,8,Inverno,9,12,JF,Planalto,10:14:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,8,Inverno,26,10,RJ,Planalto,10:52:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
cachorro-do-mato,8,Inverno,98,3,RJ,Serra,19:45:00,Sem divisão,3,Pavimento flexível (asfalto),6,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 21,Entre 75 e 100
cachorro-do-mato,8,Inverno,100,3,RJ,Serra,07:25:00,Sem divisão,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
lobo-guará,9,Inverno,821,14,JF,Planalto,06:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 09,Entre 800 e 825
cachorro-do-mato,9,Inverno,69,6,JF,Planalto,08:57:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
falsa-coral,9,Inverno,72,6,RJ,Serra,07:37:00,Sem divisão,1,Pavimento flexível (asfalto),3,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 50 e 75
gambá-de-orelha-preta,9,Inverno,88,4,RJ,Serra,07:55:00,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
suindara,9,Primavera,10,12,JF,Planalto,06:13:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 0 e 25
suindara,9,Primavera,10,12,JF,Planalto,02:00:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 03,Entre 0 e 25
gambá-de-orelha-preta,10,Primavera,100,3,JF,Serra,07:55:00,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 75 e 100
suindara,10,Primavera,36,9,JF,Planalto,10:41:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
capivara,10,Primavera,67,6,RJ,Planalto,09:04:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
coruja,10,Primavera,47,8,JF,Planalto,10:53:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 25 e 50
ouriço-cacheiro,10,Primavera,51,8,JF,Planalto,10:45:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
preguiça-comum,10,Primavera,89,4,JF,Serra,15:32:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
lobo-guará,10,Primavera,808,15,RJ,Planalto,00:18:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 03,Entre 800 e 825
coruja,10,Primavera,74,6,JF,Serra,23:11:00,Sem divisão,2,Pavimento flexível (asfalto),1,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 21 e 00,Entre 50 e 75
gambá-de-orelha-preta,10,Primavera,110,2,JF,Baixada,07:38:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 100 e 125
tamanduá-mirim,10,Primavera,75,6,RJ,Serra,02:25:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 03,Entre 50 e 75
ouriço-cacheiro,10,Primavera,69,6,RJ,Planalto,14:12:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 15,Entre 50 e 75
tatu-galinha,11,Primavera,72,6,JF,Serra,23:28:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 21 e 00,Entre 50 e 75
tamanduá-mirim,11,Primavera,21,11,RJ,Planalto,04:37:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 03 e 06,Entre 0 e 25
preguiça-comum,11,Primavera,91,4,RJ,Serra,15:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
capivara,11,Primavera,37,9,RJ,Planalto,07:40:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 09,Entre 25 e 50
sagui-de-tufos-brancos,11,Primavera,96,3,RJ,Serra,17:40:00,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 15 e 18,Entre 75 e 100
gambá-de-orelha-preta,11,Primavera,67,6,JF,Planalto,09:25:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 09 e 12,Entre 50 e 75
